Id,Question,Student_Answer
010.715.382-38,1,D
010.715.382-38,2,C
010.715.382-38,3,A
010.715.382-38,4,E
010.715.382-38,5,B
010.715.382-38,6,B
010.715.382-38,7,A
010.715.382-38,8,C
010.715.382-38,9,E
010.715.382-38,10,D
010.715.382-38,11,B
010.715.382-38,12,C
010.715.382-38,13,B
010.715.382-38,14,D
010.715.382-38,15,C
010.715.382-38,16,D
010.715.382-38,17,C
010.715.382-38,18,E
010.715.382-38,19,B
010.715.382-38,20,B
010.715.382-38,21,E
010.715.382-38,22,C
010.715.382-38,23,A
010.715.382-38,24,E
010.715.382-38,25,E
010.715.382-38,26,E
010.715.382-38,27,A
010.715.382-38,28,A
010.715.382-38,29,B
010.715.382-38,30,D
010.715.382-38,31,E
010.715.382-38,32,C
010.715.382-38,33,C
010.715.382-38,34,E
010.715.382-38,35,E
010.715.382-38,36,E
010.715.382-38,37,A
010.715.382-38,38,B
010.715.382-38,39,E
010.715.382-38,40,C
010.715.382-38,41,A
010.715.382-38,42,B
010.715.382-38,43,C
010.715.382-38,44,C
010.715.382-38,45,E
010.715.382-38,46,B
010.715.382-38,47,D
010.715.382-38,48,D
010.715.382-38,49,E
010.715.382-38,50,B
010.715.382-38,51,B
010.715.382-38,52,B
010.715.382-38,53,D
010.715.382-38,54,E
010.715.382-38,55,C
010.715.382-38,56,C
010.715.382-38,57,D
010.715.382-38,58,C
010.715.382-38,59,D
010.715.382-38,60,D
020.3102.240-101,1,D
020.3102.240-101,2,C
020.3102.240-101,3,B
020.3102.240-101,4,B
020.3102.240-101,5,D
020.3102.240-101,6,A
020.3102.240-101,7,B
020.3102.240-101,8,D
020.3102.240-101,9,B
020.3102.240-101,10,A
020.3102.240-101,11,C
020.3102.240-101,12,D
020.3102.240-101,13,E
020.3102.240-101,14,D
020.3102.240-101,15,C
020.3102.240-101,16,A
020.3102.240-101,17,B
020.3102.240-101,18,A
020.3102.240-101,19,A
020.3102.240-101,20,E
020.3102.240-101,21,E
020.3102.240-101,22,C
020.3102.240-101,23,A
020.3102.240-101,24,E
020.3102.240-101,25,B
020.3102.240-101,26,B
020.3102.240-101,27,A
020.3102.240-101,28,B
020.3102.240-101,29,B
020.3102.240-101,30,C
020.3102.240-101,31,C
020.3102.240-101,32,C
020.3102.240-101,33,C
020.3102.240-101,34,C
020.3102.240-101,35,A
020.3102.240-101,36,B
020.3102.240-101,37,B
020.3102.240-101,38,E
020.3102.240-101,39,A
020.3102.240-101,40,A
020.3102.240-101,41,D
020.3102.240-101,42,B
020.3102.240-101,43,E
020.3102.240-101,44,B
020.3102.240-101,45,B
020.3102.240-101,46,B
020.3102.240-101,47,C
020.3102.240-101,48,D
020.3102.240-101,49,B
020.3102.240-101,50,A
020.3102.240-101,51,D
020.3102.240-101,52,D
020.3102.240-101,53,B
020.3102.240-101,54,C
020.3102.240-101,55,C
020.3102.240-101,56,D
020.3102.240-101,57,B
020.3102.240-101,58,D
020.3102.240-101,59,E
020.3102.240-101,60,D
030.1018.323-88,1,C
030.1018.323-88,2,D
030.1018.323-88,3,B
030.1018.323-88,4,A
030.1018.323-88,5,E
030.1018.323-88,6,A
030.1018.323-88,7,E
030.1018.323-88,8,C
030.1018.323-88,9,D
030.1018.323-88,10,A
030.1018.323-88,11,E
030.1018.323-88,12,E
030.1018.323-88,13,D
030.1018.323-88,14,A
030.1018.323-88,15,E
030.1018.323-88,16,A
030.1018.323-88,17,E
030.1018.323-88,18,B
030.1018.323-88,19,A
030.1018.323-88,20,A
030.1018.323-88,21,C
030.1018.323-88,22,A
030.1018.323-88,23,D
030.1018.323-88,24,D
030.1018.323-88,25,B
030.1018.323-88,26,B
030.1018.323-88,27,C
030.1018.323-88,28,C
030.1018.323-88,29,D
030.1018.323-88,30,E
030.1018.323-88,31,D
030.1018.323-88,32,A
030.1018.323-88,33,C
030.1018.323-88,34,D
030.1018.323-88,35,A
030.1018.323-88,36,D
030.1018.323-88,37,A
030.1018.323-88,38,B
030.1018.323-88,39,D
030.1018.323-88,40,C
030.1018.323-88,41,B
030.1018.323-88,42,B
030.1018.323-88,43,C
030.1018.323-88,44,C
030.1018.323-88,45,A
030.1018.323-88,46,B
030.1018.323-88,47,D
030.1018.323-88,48,D
030.1018.323-88,49,E
030.1018.323-88,50,E
030.1018.323-88,51,E
030.1018.323-88,52,C
030.1018.323-88,53,E
030.1018.323-88,54,A
030.1018.323-88,55,D
030.1018.323-88,56,A
030.1018.323-88,57,D
030.1018.323-88,58,E
030.1018.323-88,59,D
030.1018.323-88,60,C
031.378.811-44,1,E
031.378.811-44,2,D
031.378.811-44,3,E
031.378.811-44,4,C
031.378.811-44,5,A
031.378.811-44,6,A
031.378.811-44,7,A
031.378.811-44,8,D
031.378.811-44,9,E
031.378.811-44,10,E
031.378.811-44,11,E
031.378.811-44,12,E
031.378.811-44,13,D
031.378.811-44,14,C
031.378.811-44,15,E
031.378.811-44,16,C
031.378.811-44,17,B
031.378.811-44,18,A
031.378.811-44,19,D
031.378.811-44,20,A
031.378.811-44,21,B
031.378.811-44,22,E
031.378.811-44,23,A
031.378.811-44,24,D
031.378.811-44,25,C
031.378.811-44,26,C
031.378.811-44,27,A
031.378.811-44,28,A
031.378.811-44,29,C
031.378.811-44,30,C
031.378.811-44,31,B
031.378.811-44,32,E
031.378.811-44,33,B
031.378.811-44,34,C
031.378.811-44,35,E
031.378.811-44,36,C
031.378.811-44,37,E
031.378.811-44,38,E
031.378.811-44,39,A
031.378.811-44,40,E
031.378.811-44,41,D
031.378.811-44,42,D
031.378.811-44,43,E
031.378.811-44,44,E
031.378.811-44,45,C
031.378.811-44,46,A
031.378.811-44,47,D
031.378.811-44,48,A
031.378.811-44,49,E
031.378.811-44,50,B
031.378.811-44,51,A
031.378.811-44,52,D
031.378.811-44,53,A
031.378.811-44,54,B
031.378.811-44,55,A
031.378.811-44,56,C
031.378.811-44,57,B
031.378.811-44,58,E
031.378.811-44,59,C
031.378.811-44,60,E
075.835.847-48,1,A
075.835.847-48,2,B
075.835.847-48,3,A
075.835.847-48,4,A
075.835.847-48,5,A
075.835.847-48,6,B
075.835.847-48,7,E
075.835.847-48,8,A
075.835.847-48,9,A
075.835.847-48,10,D
075.835.847-48,11,C
075.835.847-48,12,A
075.835.847-48,13,E
075.835.847-48,14,E
075.835.847-48,15,E
075.835.847-48,16,B
075.835.847-48,17,D
075.835.847-48,18,A
075.835.847-48,19,E
075.835.847-48,20,B
075.835.847-48,21,C
075.835.847-48,22,C
075.835.847-48,23,D
075.835.847-48,24,E
075.835.847-48,25,E
075.835.847-48,26,D
075.835.847-48,27,C
075.835.847-48,28,D
075.835.847-48,29,A
075.835.847-48,30,C
075.835.847-48,31,A
075.835.847-48,32,E
075.835.847-48,33,C
075.835.847-48,34,E
075.835.847-48,35,C
075.835.847-48,36,B
075.835.847-48,37,C
075.835.847-48,38,D
075.835.847-48,39,E
075.835.847-48,40,C
075.835.847-48,41,E
075.835.847-48,42,E
075.835.847-48,43,B
075.835.847-48,44,B
075.835.847-48,45,D
075.835.847-48,46,B
075.835.847-48,47,E
075.835.847-48,48,D
075.835.847-48,49,E
075.835.847-48,50,D
075.835.847-48,51,C
075.835.847-48,52,A
075.835.847-48,53,A
075.835.847-48,54,A
075.835.847-48,55,A
075.835.847-48,56,A
075.835.847-48,57,B
075.835.847-48,58,E
075.835.847-48,59,D
075.835.847-48,60,C
082.9110.143-31,1,C
082.9110.143-31,2,B
082.9110.143-31,3,A
082.9110.143-31,4,D
082.9110.143-31,5,C
082.9110.143-31,6,D
082.9110.143-31,7,C
082.9110.143-31,8,D
082.9110.143-31,9,E
082.9110.143-31,10,E
082.9110.143-31,11,C
082.9110.143-31,12,E
082.9110.143-31,13,B
082.9110.143-31,14,A
082.9110.143-31,15,B
082.9110.143-31,16,A
082.9110.143-31,17,E
082.9110.143-31,18,A
082.9110.143-31,19,B
082.9110.143-31,20,C
082.9110.143-31,21,D
082.9110.143-31,22,E
082.9110.143-31,23,A
082.9110.143-31,24,D
082.9110.143-31,25,C
082.9110.143-31,26,E
082.9110.143-31,27,A
082.9110.143-31,28,E
082.9110.143-31,29,C
082.9110.143-31,30,E
082.9110.143-31,31,B
082.9110.143-31,32,C
082.9110.143-31,33,C
082.9110.143-31,34,A
082.9110.143-31,35,D
082.9110.143-31,36,C
082.9110.143-31,37,E
082.9110.143-31,38,B
082.9110.143-31,39,D
082.9110.143-31,40,D
082.9110.143-31,41,B
082.9110.143-31,42,B
082.9110.143-31,43,A
082.9110.143-31,44,C
082.9110.143-31,45,E
082.9110.143-31,46,C
082.9110.143-31,47,D
082.9110.143-31,48,A
082.9110.143-31,49,D
082.9110.143-31,50,C
082.9110.143-31,51,D
082.9110.143-31,52,E
082.9110.143-31,53,B
082.9110.143-31,54,A
082.9110.143-31,55,D
082.9110.143-31,56,B
082.9110.143-31,57,D
082.9110.143-31,58,D
082.9110.143-31,59,B
082.9110.143-31,60,C
1011.1075.166-41,1,D
1011.1075.166-41,2,B
1011.1075.166-41,3,A
1011.1075.166-41,4,A
1011.1075.166-41,5,B
1011.1075.166-41,6,C
1011.1075.166-41,7,A
1011.1075.166-41,8,B
1011.1075.166-41,9,B
1011.1075.166-41,10,A
1011.1075.166-41,11,A
1011.1075.166-41,12,C
1011.1075.166-41,13,B
1011.1075.166-41,14,D
1011.1075.166-41,15,A
1011.1075.166-41,16,A
1011.1075.166-41,17,E
1011.1075.166-41,18,D
1011.1075.166-41,19,A
1011.1075.166-41,20,C
1011.1075.166-41,21,A
1011.1075.166-41,22,C
1011.1075.166-41,23,D
1011.1075.166-41,24,D
1011.1075.166-41,25,A
1011.1075.166-41,26,D
1011.1075.166-41,27,B
1011.1075.166-41,28,E
1011.1075.166-41,29,C
1011.1075.166-41,30,B
1011.1075.166-41,31,E
1011.1075.166-41,32,A
1011.1075.166-41,33,D
1011.1075.166-41,34,E
1011.1075.166-41,35,C
1011.1075.166-41,36,D
1011.1075.166-41,37,D
1011.1075.166-41,38,C
1011.1075.166-41,39,B
1011.1075.166-41,40,E
1011.1075.166-41,41,C
1011.1075.166-41,42,C
1011.1075.166-41,43,C
1011.1075.166-41,44,D
1011.1075.166-41,45,A
1011.1075.166-41,46,A
1011.1075.166-41,47,C
1011.1075.166-41,48,B
1011.1075.166-41,49,E
1011.1075.166-41,50,C
1011.1075.166-41,51,A
1011.1075.166-41,52,C
1011.1075.166-41,53,E
1011.1075.166-41,54,C
1011.1075.166-41,55,A
1011.1075.166-41,56,B
1011.1075.166-41,57,B
1011.1075.166-41,58,A
1011.1075.166-41,59,B
1011.1075.166-41,60,B
1025.755.3106-42,1,C
1025.755.3106-42,2,E
1025.755.3106-42,3,E
1025.755.3106-42,4,C
1025.755.3106-42,5,A
1025.755.3106-42,6,A
1025.755.3106-42,7,C
1025.755.3106-42,8,E
1025.755.3106-42,9,A
1025.755.3106-42,10,D
1025.755.3106-42,11,C
1025.755.3106-42,12,E
1025.755.3106-42,13,A
1025.755.3106-42,14,B
1025.755.3106-42,15,B
1025.755.3106-42,16,B
1025.755.3106-42,17,D
1025.755.3106-42,18,E
1025.755.3106-42,19,D
1025.755.3106-42,20,E
1025.755.3106-42,21,E
1025.755.3106-42,22,A
1025.755.3106-42,23,B
1025.755.3106-42,24,C
1025.755.3106-42,25,D
1025.755.3106-42,26,D
1025.755.3106-42,27,B
1025.755.3106-42,28,A
1025.755.3106-42,29,A
1025.755.3106-42,30,A
1025.755.3106-42,31,B
1025.755.3106-42,32,C
1025.755.3106-42,33,A
1025.755.3106-42,34,D
1025.755.3106-42,35,C
1025.755.3106-42,36,E
1025.755.3106-42,37,B
1025.755.3106-42,38,E
1025.755.3106-42,39,B
1025.755.3106-42,40,D
1025.755.3106-42,41,D
1025.755.3106-42,42,E
1025.755.3106-42,43,B
1025.755.3106-42,44,C
1025.755.3106-42,45,E
1025.755.3106-42,46,E
1025.755.3106-42,47,A
1025.755.3106-42,48,E
1025.755.3106-42,49,B
1025.755.3106-42,50,C
1025.755.3106-42,51,B
1025.755.3106-42,52,A
1025.755.3106-42,53,B
1025.755.3106-42,54,A
1025.755.3106-42,55,A
1025.755.3106-42,56,C
1025.755.3106-42,57,A
1025.755.3106-42,58,E
1025.755.3106-42,59,C
1025.755.3106-42,60,A
1025.855.567-07,1,C
1025.855.567-07,2,A
1025.855.567-07,3,A
1025.855.567-07,4,D
1025.855.567-07,5,B
1025.855.567-07,6,D
1025.855.567-07,7,E
1025.855.567-07,8,B
1025.855.567-07,9,C
1025.855.567-07,10,E
1025.855.567-07,11,E
1025.855.567-07,12,C
1025.855.567-07,13,C
1025.855.567-07,14,E
1025.855.567-07,15,D
1025.855.567-07,16,B
1025.855.567-07,17,B
1025.855.567-07,18,E
1025.855.567-07,19,E
1025.855.567-07,20,D
1025.855.567-07,21,A
1025.855.567-07,22,A
1025.855.567-07,23,D
1025.855.567-07,24,A
1025.855.567-07,25,A
1025.855.567-07,26,E
1025.855.567-07,27,E
1025.855.567-07,28,C
1025.855.567-07,29,D
1025.855.567-07,30,C
1025.855.567-07,31,A
1025.855.567-07,32,D
1025.855.567-07,33,E
1025.855.567-07,34,B
1025.855.567-07,35,E
1025.855.567-07,36,D
1025.855.567-07,37,D
1025.855.567-07,38,A
1025.855.567-07,39,A
1025.855.567-07,40,B
1025.855.567-07,41,C
1025.855.567-07,42,E
1025.855.567-07,43,E
1025.855.567-07,44,A
1025.855.567-07,45,A
1025.855.567-07,46,E
1025.855.567-07,47,B
1025.855.567-07,48,B
1025.855.567-07,49,B
1025.855.567-07,50,C
1025.855.567-07,51,A
1025.855.567-07,52,D
1025.855.567-07,53,C
1025.855.567-07,54,E
1025.855.567-07,55,E
1025.855.567-07,56,B
1025.855.567-07,57,B
1025.855.567-07,58,B
1025.855.567-07,59,D
1025.855.567-07,60,B
1050.541.291-65,1,A
1050.541.291-65,2,D
1050.541.291-65,3,B
1050.541.291-65,4,C
1050.541.291-65,5,A
1050.541.291-65,6,E
1050.541.291-65,7,A
1050.541.291-65,8,D
1050.541.291-65,9,C
1050.541.291-65,10,E
1050.541.291-65,11,B
1050.541.291-65,12,E
1050.541.291-65,13,C
